City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,mount isa,-20.7333,139.5,23.87,33,75,6.17,AU,1667264326
264,carnarvon,-24.8667,113.6333,21.56,32,0,8.16,AU,1667264326
265,deming,32.2687,-107.7586,16.5,32,0,0.64,US,1667264326
266,laguna,38.421,-121.4238,20.53,51,0,0.0,US,1667264327
267,inhambane,-23.865,35.3833,23.32,85,100,7.36,MZ,1667264327
268,shubarkuduk,49.1447,56.4872,9.63,88,100,9.1,KZ,1667264327
269,new norfolk,-42.7826,147.0587,14.28,43,100,1.34,AU,1667264327
270,san andres,12.5847,-81.7006,25.01,100,75,1.03,CO,1667264328
271,dalmatovo,56.26,62.9362,4.47,96,100,6.75,RU,1667264328
272,plettenberg bay,-34.0527,23.3716,12.57,81,0,3.12,ZA,1667264328
273,penukonda,14.0833,77.5833,18.97,86,46,1.49,IN,1667264329
274,kraslava,55.8951,27.168,4.29,85,100,1.8,LV,1667264329
275,mgandu,-5.95,34.1333,18.49,66,67,3.34,TZ,1667264329
276,egvekinot,66.3167,-179.1667,-16.27,87,100,4.17,RU,1667264330
277,qasigiannguit,68.8193,-51.1922,-9.56,87,100,3.16,GL,1667264330
278,najran,17.4924,44.1277,17.36,37,10,0.7,SA,1667264207
279,umm kaddadah,13.6017,26.6876,25.28,20,99,8.39,SD,1667264330
280,chokurdakh,70.6333,147.9167,-26.57,100,58,2.26,RU,1667264331
281,buala,-8.145,159.5921,29.14,73,31,2.44,SB,1667264331
282,mitsamiouli,-11.3847,43.2844,25.15,76,15,6.07,KM,1667264331
283,clyde river,70.4692,-68.5914,-14.87,61,0,9.26,CA,1667264332
284,moranbah,-22.0016,148.0466,32.01,49,90,8.27,AU,1667264332
285,labuhan,-6.8844,112.2051,28.61,67,6,3.71,ID,1667264332
286,takoradi,4.8845,-1.7554,25.98,84,96,1.89,GH,1667264333
287,tilichiki,60.4667,166.1,-14.89,81,2,5.85,RU,1667264333
288,turinskaya sloboda,57.6232,64.3858,3.23,96,100,4.71,RU,1667264333
289,coquimbo,-29.9533,-71.3436,12.85,87,0,3.09,CL,1667264334
290,cabo san lucas,22.8909,-109.9124,26.7,71,53,0.89,MX,1667264094
291,cesis,57.3119,25.2746,7.07,68,100,2.89,LV,1667264178
292,arlit,18.7369,7.3853,22.08,24,13,2.89,NE,1667264334
293,kachug,53.9606,105.8817,-8.93,69,9,0.66,RU,1667264335
294,kainantu,-6.2887,145.8655,26.6,48,11,2.29,PG,1667264335
295,guadalupe y calvo,26.1,-106.9667,6.59,71,0,0.7,MX,1667264336
296,ixtapa,20.7,-105.2,22.41,92,15,0.34,MX,1667264336
297,manbij,36.5281,37.9549,16.89,50,0,3.31,SY,1667264336
298,cerrito,6.8432,-72.694,12.23,93,65,1.32,CO,1667264337
299,inuvik,68.3499,-133.7218,-10.58,85,100,2.57,CA,1667264337
300,bahia de caraquez,-0.6,-80.4167,22.1,83,70,4.53,EC,1667264337
301,smithers,54.7804,-127.1743,3.18,65,40,1.03,CA,1667264338
302,lipetsk,52.6031,39.5708,1.77,87,100,6.95,RU,1667264338
303,yako,12.9667,-2.2667,25.0,24,1,3.62,BF,1667264111
304,grand gaube,-20.0064,57.6608,22.43,76,20,2.68,MU,1667264338
305,carballo,43.213,-8.691,13.26,93,62,2.29,ES,1667264339
306,maragogi,-9.0122,-35.2225,24.18,81,77,3.27,BR,1667264339
307,ucluelet,48.9329,-125.5528,8.38,85,100,4.31,CA,1667264339
308,nouakchott,18.0858,-15.9785,24.96,28,0,4.65,MR,1667264340
309,mbandaka,0.0487,18.2603,20.61,97,100,1.47,CD,1667264340
310,sao joao da barra,-21.6403,-41.0511,25.05,94,58,5.32,BR,1667264341
311,de-kastri,51.4667,140.7833,6.57,50,100,1.0,RU,1667264341
312,yumen,40.2833,97.2,3.43,44,100,2.91,CN,1667264341
313,oum hadjer,13.2954,19.6966,26.96,26,38,4.87,TD,1667264342
